"x","y","z"
-181.859809036788,-167.364090854889,-42.3127915605781
-188.369146967266,-154.734747220763,-43.7496558504129
-187.567173418872,-142.266191127457,-48.651893226311
-134.452994937588,-163.854409943923,-9.05649979728497
-146.019302640397,-169.604919072086,-8.77585218250394
-159.991559358966,-167.764861639153,-8.09031877142246
-170.619915087234,-159.706331650535,-6.52971368703662
-176.048369203938,-146.854410349967,-4.36796140757194
-173.821065060364,-134.099520627487,-3.26795683279414
-165.742561416722,-122.936954115621,-3.93114758422746
-154.174585482597,-116.991286758191,-5.45310303548372
-139.965732932336,-118.691827002834,-7.20527344249209
-129.035117170392,-127.13655939771,-8.77975673248052
-123.667996523141,-140.263819680273,-9.9001716665904
-126.199222643048,-152.827664805276,-9.74498377465406
-174.947303195172,-206.908592369821,77.8979502393059
-177.789591703873,-206.331049768094,74.9208624599415
-181.483796380019,-204.519514615831,73.5504215980535
-185.14651336053,-201.745726035802,74.087446794274
-187.545381795451,-198.935186411224,76.3419728561958
-188.173201362079,-196.779350677055,79.7040115649721
-186.697770932289,-195.79119472615,83.3874329446636
-183.292237764889,-196.106558326935,88.1901581143236
-179.278085541939,-197.780455030517,91.5486051480853
-175.786734091322,-200.616411130548,91.2618897005039
-173.897822369843,-203.633541356231,87.2968948006038
-173.666766291196,-205.991160814765,81.8660529023383
-219.327265576556,-216.260280054122,-125.768829742191
-217.736471616242,-215.465367924118,-130.114132162209
-225.108274356869,-209.774020811866,-128.947966501548
-224.645492575546,-212.154347978888,-124.927494386089
-216.820098091405,-213.41355686331,-134.334987994198
-216.71475476852,-210.40907766094,-137.810106139531
-222.032990102385,-206.303154909225,-136.968798125738
-224.191889649873,-207.722210655839,-133.168809560884
-187.180424565745,-203.219727172163,77.6807568398498
-181.689348811952,-207.386043327999,76.8850523525294
-187.032900121451,-201.892036178944,81.7906500881444
-179.680052558305,-207.570504080583,80.8418788528019
-182.328069274906,-200.428198411125,92.6848539913745
-185.442027429158,-200.949744513343,86.084603807431
-178.277777360962,-206.696646876697,85.4113173065637
-177.186711714006,-204.72144274217,92.3998858511283
-125.652386390538,-154.217473901611,12.6245277977457
-132.004380718247,-163.882139339702,28.9655969646259
-134.638006480408,-165.55844808929,44.0465187207189
-126.814888419844,-154.571946662375,33.2180249451544
-133.330527172492,-163.950608572716,10.5457328336755
-140.264407452448,-170.722039443669,24.9199815049378
-140.472561800068,-172.25738090677,38.8519728747969
-144.326738260852,-169.486368726465,8.46161925502837
-152.25709974664,-172.037217809284,22.2942276164045
-149.528228912007,-175.150957718538,34.8465180523002
-157.819608678325,-167.768994099055,7.87243961795156
-163.670953858511,-167.275085331296,22.7200087234496
-159.920994470353,-173.315639880172,33.7042399287319
-168.320638701931,-159.814366060824,9.41325375986192
-171.167264520944,-157.717874749861,25.0686127164335
-168.340749968369,-166.940148035614,34.9395591183893
-173.283062280528,-147.557714648778,12.7101832530761
-172.578534630698,-146.254063606219,29.6610139342141
-172.516206703872,-157.744357450884,38.2191780771706
-170.832451892929,-135.572345405591,16.0510286438112
-167.810746845354,-136.771995045442,34.2192792376519
-171.425162516229,-148.819937793803,43.3931152407755
-163.398838246619,-125.652506283325,18.1653397265468
-159.381544370407,-129.911152309109,37.9957338210715
-165.645407909296,-142.079493717458,48.5956912825954
-152.176210553079,-120.287563568111,19.2083943040491
-147.238059763228,-128.883071464365,40.0614115252084
-156.480983979207,-139.225066248646,52.5510284322706
-138.326477302182,-121.944536555548,19.1371241110205
-135.524038946585,-133.456190773083,40.0265766306783
-145.999401820869,-141.166036985626,54.2152225255058
